evaluation_id,tweet_id,text,gold_intent,gold_escalate,predicted_intent,predicted_escalate,retrieved_customer,retrieved_reply,final_response,llm_relevance,llm_grounding,llm_helpfulness,llm_tone,llm_hallucination,llm_overall,llm_reason,human_relevance,human_grounding,human_helpfulness,human_tone,human_hallucination,human_overall,human_reason
1,671655,@AmazonHelp I don't have an Amazon account with that email address. But it is an address with 2 step verification that has not been hacked.  Why would someone be able to set up an Amazon account with an email account that has not been verified thru Amazon?  Sounds like Amazon security prob.,Account & Security,YES,Account & Security,YES,,,I'm sorry you're experiencing this. I'd recommend contacting Amazon customer support so a specialist can look into this for you.,5,5,4,5,5,5,The escalation reply directly routes a sensitive account issue to a specialist without inventing account-specific facts.,5,5,5,4,5,5,The escalation reply directly routes a sensitive account issue to a specialist without inventing account-specific facts.
2,1760492,Amazon customer Service is awful! $ a defective paper shredder - threw out box- can’t get help - no humans to speak to. @AmazonHelp @115821,Order & Delivery,YES,Account & Security,NO,@115821 customer service is incredible,"@772490 I'm glad we could help, Coco! We're always available if you need us! ^SE","@772490 I'm glad we could help, Coco! We're always available if you need us! ^SE",1,2,1,5,5,1,The reply is unrelated to the defective product and failed-support complaint; it offers no useful resolution.,1,2,4,2,4,1,The reply is unrelated to the defective product and failed-support complaint; it offers no useful resolution.
3,2273384,@AmazonHelp I have a charge on my bank account from Amazon but have no idea what it is for. Could you help me out,Payment & Amazon Pay,YES,Account & Security,NO,@115821 i have been getting charged $5 every month for amazon freetime. I have no idea what it is. Help? Lol,@356362 Hi Phil. Please get in touch with us here: https://t.co/hApLpMlfHN and we'll investigate this for you. ^RL,@356362 Hi Phil. Please get in touch with us here: https://t.co/hApLpMlfHN and we'll investigate this for you. ^RL,4,4,4,5,5,4,The reply appropriately directs the customer to support for an unrecognized charge and avoids unsupported claims.,4,3,3,3,4,4,The reply appropriately directs the customer to support for an unrecognized charge and avoids unsupported claims.
4,833654,"@115850 I just bought goods and one is damaged. Calling their call centre number but am not being received...
Extremely frustrating",Product Problems,YES,Product Problems,NO,@115821 I received my order today and one of the books is damaged. https://t.co/r2nUgbvC48,@409958 I'm sorry your book arrived this way! You'll be able to find return/replacement options here: https://t.co/fufe9cBiNR ^VS,@409958 I'm sorry your book arrived this way! You'll be able to find return/replacement options here: https://t.co/fufe9cBiNR ^VS,4,4,4,5,5,4,"The response addresses the damaged-product problem with a return/replacement path, although it does not acknowledge the failed call-centre contact.",3,3,2,3,4,3,"The response addresses the damaged-product problem with a return/replacement path, although it does not acknowledge the failed call-centre contact."
5,1100419,"@115850 @115850  very disappointed with my recent purchase
damaged product
no resolution provided by global seller
wasted rs.1569
hate it
pls help
pls REFUND ASAP
A-Z GUARANTEE",Returns & Refunds,YES,Product Problems,NO,"@AmazonHelp no resolution provided by seller
pls look into the issue yourself
and provide refund
pls",@665348 Apologies for the trouble. May I know if you've reported this to our support team through the link provided earlier? ^EM,@665348 Apologies for the trouble. May I know if you've reported this to our support team through the link provided earlier? ^EM,2,3,2,5,5,2,The reply asks whether support was contacted but does not address the stated refund request or unresolved seller issue.,2,2,3,1,4,2,The reply asks whether support was contacted but does not address the stated refund request or unresolved seller issue.
6,2166592,@115850 will my this issue get resolved or not as I'm trying to use the feature know as contact us in your application but my call is getting disconnected https://t.co/wImC3PT45I,Order & Delivery,YES,Prime Video / Streaming,NO,@AmazonHelp How to use the chat feature?,"@169701 option 2: Hindi) &gt; provide us your number &gt; choose from 'call now' or 'call me in 5 minutes'. (3/3) ^VM @169701 choose from chat / phone / email options, if selecting phone option select language preferred (option 1: English, (2/3) ^VM @169701 Reach us via: https://t.co/vlvfJr4nN9 &gt; login to your amazon.in account or select Skip Signin &gt; select issue codes &gt; (1/3) ^VM","@169701 option 2: Hindi) &gt; provide us your number &gt; choose from 'call now' or 'call me in 5 minutes'. (3/3) ^VM @169701 choose from chat / phone / email options, if selecting phone option select language preferred (option 1: English, (2/3) ^VM @169701 Reach us via: https://t.co/vlvfJr4nN9 &gt; login to your amazon.in account or select Skip Signin &gt; select issue codes &gt; (1/3) ^VM",1,2,1,5,5,1,The retrieved reply is about contacting support options in a different context and does not answer the customer's disconnected-call complaint.,2,3,3,3,4,1,The retrieved reply is about contacting support options in a different context and does not answer the customer's disconnected-call complaint.
7,1681787,@AmazonHelp @115850 mentioned in the mail like I'll get back my money today(NOV 7) to my account but again U guys proved very worst service @115850,Account & Security,YES,Returns & Refunds,NO,@AmazonHelp Done. Now by when will I get back my money?,"@387909 Since you've responded to the mail, our team will get back to you with an update shortly. Appreciate your patience. ^EM","@387909 Since you've responded to the mail, our team will get back to you with an update shortly. Appreciate your patience. ^EM",2,3,2,5,5,2,"The reply says the team will provide an update, but it does not directly address the promised refund or the repeated service failure.",3,2,3,2,3,2,"The reply says the team will provide an update, but it does not directly address the promised refund or the repeated service failure."
8,1119600,"@AmazonHelp  pl help, ur Cloudtail retail is partnering with fraud co. #jiolyf in selling FAKE iphone through. Pl help https://t.co/WhFO6TmVed",Product Problems,YES,Returns & Refunds,NO,@AmazonHelp pl call 9676854745,"@219487 earlier. Please don't provide your contact information, as we consider it to be personal information. 2/2 ^AP @219487 We cannot access your Amazon account via Twitter. Kindly share your details through the secure link provided 1/2 ^AP","@219487 earlier. Please don't provide your contact information, as we consider it to be personal information. 2/2 ^AP @219487 We cannot access your Amazon account via Twitter. Kindly share your details through the secure link provided 1/2 ^AP",1,2,1,5,5,1,The response is about account/contact-information handling and does not address the reported fake product or fraud concern.,2,3,2,4,4,1,The response is about account/contact-information handling and does not address the reported fake product or fraud concern.
9,2902484,@AmazonHelp what do I need to do to disable 2-step verification on my account which i am locked out of? I've called customer support several times over the last couple months and have initiated the 2-step verification account recovery. Nothing else has been done to resolve this.,Account & Security,YES,Account & Security,YES,,,I'm sorry you're experiencing this. I'd recommend contacting Amazon customer support so a specialist can look into this for you.,5,5,4,5,5,5,The escalation response is appropriate for a locked account after repeated support attempts and makes no unsupported factual claims.,1,4,1,3,4,5,The escalation response is appropriate for a locked account after repeated support attempts and makes no unsupported factual claims.
10,1724783,@115830 you've sent me a battery charger without the batteries it was mean to have but I don't know how to contact you to address this?,Product Problems,YES,Payment & Amazon Pay,YES,,,I'm sorry you're experiencing this. I'd recommend contacting Amazon customer support so a specialist can look into this for you.,5,5,4,5,5,5,The response correctly routes a product/contact problem to human support and avoids inventing a resolution.,3,5,4,2,4,3,The response correctly routes a product/contact problem to human support and avoids inventing a resolution.
