tweet_id,text,intent,escalate,escalation_reason,gold_intent,gold_escalate,gold_reason
817593,@AmazonHelp It says I don't have a prime membership?! So I don't understand why you've taken £80 from my account?!,Account & Security,NO,,Payment & Amazon Pay,YES,uunauthorized money deduction
1601589,@115850 ordered on 21 Oct after confirming my pin deliverable.15 daz later u guys r talking this bullshit dat item is nt deliverable.1/1 https://t.co/JBnw585a0r,Order & Delivery,NO,,Order & Delivery,NO,
2667934,@115850 I am not able to contact to your customer service ..I have message from Amazon that 5000 rs has been credited to your amazon pay balance but still my account shows zero amazon pay balance ..Plz help me out,Payment & Amazon Pay,NO,,Returns & Refunds,YES,unresolved isuue
2613154,"@115850 I have ordered a moto g5s plus and facing lot of challanges with phone charging. Seems like the product is defective.

Can someone please reach out to me on 8800941947.",Product Problems,NO,,Product Problems,YES,requesting human assistance
1953406,@AmazonHelp If I were you I’d advise ur CEO that I’m asking @351371 2 investigative fake @115858 products being sold with Amazons blessing in the UK &amp; then refusing refunds!!,Returns & Refunds,YES,Potential counterfeit product,Returns & Refunds,NO,
125317,@115830 Fire TV Stick with Alexa Voice Remote | Streaming Media Player. It isn't available to buy on amazon.es but i was wondering if i bought it in the uk store would it work in Spain. e.g. bbciplayer?,Prime Video / Streaming,NO,,Prime Membership & Benefits,NO,
946418,@AmazonHelp Even those few titles also not visible. Should I discontinue using Amazon prime ?,Prime Membership & Benefits,NO,,Prime Video / Streaming,NO,
2216670,"@AmazonHelp excuse no. 1: d products got damaged. Not one not two. For more than five products they gave the same excuse. Is anyone facing dis issue? If u r,",Product Problems,NO,,Product Problems,NO,
512388,@115821 why did you send me a product that has already been marked as damaged? @AmazonHelp https://t.co/ofDGhEtZcR,Product Problems,NO,,Product Problems,YES,delivered defective product
49913,@115850 Didn’t get 1000 cashback for nokia 6 as i pay bia amazon pay nd I’m prime member,Payment & Amazon Pay,NO,,Payment & Amazon Pay,NO,
1229677,@115850 can i buy next year's subcription to prime membership today before my current one expires?,Prime Membership & Benefits,NO,,Prime Membership & Benefits,NO,
