tweet_id,text,gold_intent,predicted_intent,intent_correct,gold_escalate,predicted_escalate,escalation_correct,retrieved_customer,retrieved_reply,retrieval_similarity,final_response
2166592,@115850 will my this issue get resolved or not as I'm trying to use the feature know as contact us in your application but my call is getting disconnected https://t.co/wImC3PT45I,Order & Delivery,Prime Video / Streaming,False,YES,NO,False,@AmazonHelp How to use the chat feature?,"@169701 option 2: Hindi) &gt; provide us your number &gt; choose from 'call now' or 'call me in 5 minutes'. (3/3) ^VM @169701 choose from chat / phone / email options, if selecting phone option select language preferred (option 1: English, (2/3) ^VM @169701 Reach us via: https://t.co/vlvfJr4nN9 &gt; login to your amazon.in account or select Skip Signin &gt; select issue codes &gt; (1/3) ^VM",0.30509801290816274,"@169701 option 2: Hindi) &gt; provide us your number &gt; choose from 'call now' or 'call me in 5 minutes'. (3/3) ^VM @169701 choose from chat / phone / email options, if selecting phone option select language preferred (option 1: English, (2/3) ^VM @169701 Reach us via: https://t.co/vlvfJr4nN9 &gt; login to your amazon.in account or select Skip Signin &gt; select issue codes &gt; (1/3) ^VM"
2273384,@AmazonHelp I have a charge on my bank account from Amazon but have no idea what it is for. Could you help me out,Payment & Amazon Pay,Account & Security,False,YES,NO,False,@115821 i have been getting charged $5 every month for amazon freetime. I have no idea what it is. Help? Lol,@356362 Hi Phil. Please get in touch with us here: https://t.co/hApLpMlfHN and we'll investigate this for you. ^RL,0.43621899966214,@356362 Hi Phil. Please get in touch with us here: https://t.co/hApLpMlfHN and we'll investigate this for you. ^RL
1681787,@AmazonHelp @115850 mentioned in the mail like I'll get back my money today(NOV 7) to my account but again U guys proved very worst service @115850,Account & Security,Returns & Refunds,False,YES,NO,False,@AmazonHelp Done. Now by when will I get back my money?,"@387909 Since you've responded to the mail, our team will get back to you with an update shortly. Appreciate your patience. ^EM",0.3784989918014545,"@387909 Since you've responded to the mail, our team will get back to you with an update shortly. Appreciate your patience. ^EM"
550615,@AmazonHelp I need to delete and repost this tweet. It’s not Prime. Ships from and sold by VESNIBA.,Order & Delivery,Prime Membership & Benefits,False,NO,NO,True,"@AmazonHelp It says ""ships from and sold by https://t.co/s2iL5Cpv0X""",@198136 Thanks for confirming! We'd like to take a closer look to see what's going on here: https://t.co/hApLpMlfHN ^HC,0.680367497494131,@198136 Thanks for confirming! We'd like to take a closer look to see what's going on here: https://t.co/hApLpMlfHN ^HC
1718704,@AmazonHelp 408-7381410-8288305 refund not yet given amazon must pay panality as 5 days passed for amount ₹699,Returns & Refunds,Returns & Refunds,True,NO,YES,False,,,,I'm sorry you're experiencing this. I'd recommend contacting Amazon customer support so a specialist can look into this for you.
1119600,"@AmazonHelp  pl help, ur Cloudtail retail is partnering with fraud co. #jiolyf in selling FAKE iphone through. Pl help https://t.co/WhFO6TmVed",Product Problems,Returns & Refunds,False,YES,NO,False,@AmazonHelp pl call 9676854745,"@219487 earlier. Please don't provide your contact information, as we consider it to be personal information. 2/2 ^AP @219487 We cannot access your Amazon account via Twitter. Kindly share your details through the secure link provided 1/2 ^AP",0.43198166660582776,"@219487 earlier. Please don't provide your contact information, as we consider it to be personal information. 2/2 ^AP @219487 We cannot access your Amazon account via Twitter. Kindly share your details through the secure link provided 1/2 ^AP"
1229659,@119625 When you are going to add Malayalam movies ??,Prime Video / Streaming,Prime Video / Streaming,True,NO,NO,True,@119625 @12154 When you are going to release trailer ?,@170976 We will continue to add new content. Stay tuned to amazon video for further updates. ^AU,0.7250499534759608,@170976 We will continue to add new content. Stay tuned to amazon video for further updates. ^AU
2965294,Um where’s episode 9 of #Lucifer @116618,Prime Video / Streaming,Prime Video / Streaming,True,NO,NO,True,@119625 When new episode of @41845 gets uploaded ??,"@294487 where we highlight the latest movies and TV shows we have available, Stay tuned. ^AK (2/2) @294487 We will continue to add new content. Keeping checking https://t.co/FYM9PIZOR8 ^AK (1/2)",0.6619384359317527,"@294487 where we highlight the latest movies and TV shows we have available, Stay tuned. ^AK (2/2) @294487 We will continue to add new content. Keeping checking https://t.co/FYM9PIZOR8 ^AK (1/2)"
946418,@AmazonHelp Even those few titles also not visible. Should I discontinue using Amazon prime ?,Prime Video / Streaming,Order & Delivery,False,NO,NO,True,@AmazonHelp I am using amazon India,@727761 Please reach out to our support team here: https://t.co/TdDksLo6Mf and we'll be glad to assist you. ^MK,0.31712179785881683,@727761 Please reach out to our support team here: https://t.co/TdDksLo6Mf and we'll be glad to assist you. ^MK
980695,Just finished S1 of Lakhon mein ek.. good job @12154 @119625. When's the next season streaming ? Need more of bakri &amp; Chudail :P,Prime Video / Streaming,Prime Video / Streaming,True,NO,NO,True,"Good job, @115821 https://t.co/PRr8vZyqml",@304883 I'm sorry for the trouble with your shipment! Was the exterior packaging damaged as well: https://t.co/yblBJzEa4i? ^ST,0.4809924113331144,@304883 I'm sorry for the trouble with your shipment! Was the exterior packaging damaged as well: https://t.co/yblBJzEa4i? ^ST
